No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1;APA;ASTOR PANJANG ALADIN;Manis;BALL 4 KG;In;2023-01;40;120000;4800000;Mandiri Snack ;
2;AMA;ASTOR MINI ALADIN;Manis;BALL 4 KG;In;2023-01;80;110000;8800000;Mandiri Snack ;
3;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;In;2023-01;70;120000;8400000;Mandiri Snack ;
4;BI;BAGELEN ION;Manis;BALL 1 KG;In;2023-01;100;40000;4000000;Mandiri Snack ;
5;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;In;2023-01;90;100000;9000000;Mandiri Snack ;
6;BK;BANTAL KEJU;Asin;BALL 1 KG;In;2023-01;100;40000;4000000;Mandiri Snack ;
7;BA;BASRENG ATO;Pedas;BALL 2 KG;In;2023-01;60;50000;3000000;Mandiri Snack ;
8;BO;BATAGOR ORI;Asin;BALL 2 KG;In;2023-01;66;50000;3300000;Mandiri Snack ;
9;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;In;2023-01;66;100000;6600000;Mandiri Snack ;
10;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;In;2023-01;80;40000;3200000;Mandiri Snack ;
11;BKT;BROWNIS KARAKTER;Manis;BALL 1 KG;In;2023-01;50;50000;2500000;Mandiri Snack ;
12;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;In;2023-01;60;40000;2400000;Mandiri Snack ;
13;CW;CIPUT WAYANG ;Asin;BALL 1 KG;In;2023-01;60;50000;3000000;Mandiri Snack ;
14;CC;COCOSTIK;Manis;BALL 1 KG;In;2023-01;80;20000;1600000;Mandiri Snack ;
15;CP;COMBRING PEDAS;Pedas;BALL 1 KG;In;2023-01;55;40000;2200000;Mandiri Snack ;
16;GD;GURILEM DASYAT;Pedas;BALL 1 KG;In;2023-01;100;30000;3000000;Mandiri Snack ;
17;GL;GURILEM LYDIA;Pedas;BALL 1 KG;In;2023-01;100;30000;3000000;Mandiri Snack ;
18;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;In;2023-01;40;80000;3200000;Mandiri Snack ;
19;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;In;2023-01;70;120000;8400000;Mandiri Snack ;
20;KK;KACANG KEDELAI;Asin;BALL 2 KG;In;2023-01;50;90000;4500000;Mandiri Snack ;
21;KM;KACANG MIX;Asin;BALL 2 KG;In;2023-01;100;90000;9000000;SDP;
22;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;In;2023-01;80;10000;800000;SDP;
23;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;In;2023-01;40;80000;3200000;SDP;
24;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;In;2023-01;100;50000;5000000;SDP;
25;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;In;2023-01;60;50000;3000000;SDP;
26;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;In;2023-01;100;80000;8000000;Zidan Snack;
27;KPM;KUPING MINI;Manis;BALL 1 KG;In;2023-01;60;25000;1500000;Zidan Snack;
28;LU;LADU UNGU;Manis;BALL 1 KG;In;2023-01;60;40000;2400000;Zidan Snack;
29;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;In;2023-01;50;50000;2500000;Zidan Snack;
30;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;In;2023-01;100;50000;5000000;Zidan Snack;
31;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;In;2023-01;100;40000;4000000;Zidan Snack;
32;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;In;2023-01;140;40000;5600000;Zidan Snack;
33;MT;MAKARONI TABUR;Pedas;BALL 1 KG;In;2023-01;66;40000;2640000;Zidan Snack;
34;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;In;2023-01;100;200000;20000000;Zidan Snack;
35;MM;MARNING ;Asin;BALL 2 KG;In;2023-01;85;60000;5100000;Zidan Snack;
36;MCBM;MARNING CAP BOGOR MAS;Asin;BALL 2 KG;In;2023-01;100;100000;10000000;Subur Jaya;
37;MJS;MARNING JAGUNG AJI SUKA;Asin;BALL 2 KG;In;2023-01;66;80000;5280000;Subur Jaya;
38;MGS;MIE GULUNG ORI/Pedas SDP;Pedas;BALL 1 KG;In;2023-01;100;50000;5000000;Subur Jaya;
39;PM;PANGSIT MAWAR;Pedas;BALL 1 KG;In;2023-01;50;50000;2500000;Subur Jaya;
40;PTB;PILUS TIGA BURUNG ;Asin;BALL 1 KG;In;2023-01;100;30000;3000000;Subur Jaya;
41;PAM;PISANG AROMA MAUYUT;Manis;BALL 2 KG;In;2023-01;40;50000;2000000;PB Mekar Sari Putra;
42;PAS;PISANG ASIN SDP;Asin;BALL 2 KG;In;2023-01;100;60000;6000000;PB Mekar Sari Putra;
43;PST;POKEN STIK TAKARA;Asin;BALL 1 KG;In;2023-01;70;50000;3500000;PB Mekar Sari Putra;
44;PBR;POTATO BULAT BALADO RIORY;Pedas;BALL 1 KG;In;2023-01;40;40000;1600000;PB Mekar Sari Putra;
45;PKR;POTATO  KOTAK RYORI;Asin;BALL 1 KG;In;2023-01;250;30000;7500000;PB Mekar Sari Putra;
46;SA;SIOMAY AZAHRA;Pedas;BALL 1 KG;In;2023-01;100;40000;4000000;Delvi Jaya;
47;SB;SALE BASAH ;Manis;BALL 1 KG;In;2023-01;60;30000;1800000;Delvi Jaya;
48;SBM;SINGKONG BALADO MJ;Pedas;BALL 2 KG;In;2023-01;50;80000;4000000;Delvi Jaya;
49;ST;SINGKONG TES ;Asin;BALL 2 KG;In;2023-01;100;100000;10000000;Delvi Jaya;
50;SV;SEBLAK VIRAL;Pedas;BALL 1 KG;In;2023-01;50;40000;2000000;Delvi Jaya;
51;SM;SISTIK MAWAR;Asin;BALL 1 KG;In;2023-01;40;50000;2000000;Bumi Sari Cianjur;
52;SBT;STIK BALADO TAKARA;Pedas;BALL 1 KG;In;2023-01;60;40000;2400000;Bumi Sari Cianjur;
53;SUL;SUMPIA UDANG JAYA LAKSANA ;Asin;BALL 2 KG;In;2023-01;100;80000;8000000;Bumi Sari Cianjur;
54;TGW;TELOR GABUS WIJEN ;Asin;BALL 2 KG;In;2023-01;100;60000;6000000;Bumi Sari Cianjur;
55;TGT;TELOR GABUS TJ;Asin;BALL 1 KG;In;2023-01;50;25000;1250000;Bumi Sari Cianjur;
56;APA;ASTOR PANJANG ALADIN;Manis;BALL 4 KG;In;2023-02;50;120000;6000000;Abadi Jaya Perkasa;
57;AMA;ASTOR MINI ALADIN;Manis;BALL 4 KG;In;2023-02;45;110000;4950000;Abadi Jaya Perkasa;
58;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;In;2023-02;45;120000;5400000;Abadi Jaya Perkasa;
59;BI;BAGELEN ION;Manis;BALL 1 KG;In;2023-02;50;40000;2000000;Abadi Jaya Perkasa;
60;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;In;2023-02;45;100000;4500000;Abadi Jaya Perkasa;
61;BK;BANTAL KEJU;Asin;BALL 1 KG;In;2023-02;50;40000;2000000;Mandiri Snack;
62;BA;BASRENG ATO;Pedas;BALL 2 KG;In;2023-02;45;50000;2250000;Mandiri Snack;
63;BO;BATAGOR ORI;Asin;BALL 2 KG;In;2023-02;20;50000;1000000;Mandiri Snack;
64;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;In;2023-02;20;100000;2000000;Mandiri Snack;
65;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;In;2023-02;20;40000;800000;Mandiri Snack;
66;BKT;BROWNIS KARAKTER;Manis;BALL 1 KG;In;2023-02;30;50000;1500000;Mandiri Snack;
67;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;In;2023-02;45;40000;1800000;Mandiri Snack;
68;CW;CIPUT WAYANG ;Asin;BALL 1 KG;In;2023-02;30;50000;1500000;Mandiri Snack;
69;CC;COCOSTIK;Manis;BALL 1 KG;In;2023-02;20;20000;400000;Mandiri Snack;
70;CP;COMBRING PEDAS;Pedas;BALL 1 KG;In;2023-02;50;40000;2000000;Mandiri Snack;
71;GD;GURILEM DASYAT;Pedas;BALL 1 KG;In;2023-02;50;30000;1500000;Mandiri Snack;
72;GL;GURILEM LYDIA;Pedas;BALL 1 KG;In;2023-02;50;30000;1500000;Mandiri Snack;
73;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;In;2023-02;30;80000;2400000;Mandiri Snack;
74;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;In;2023-02;45;120000;5400000;Mandiri Snack;
75;KK;KACANG KEDELAI;Asin;BALL 2 KG;In;2023-02;50;90000;4500000;Mandiri Snack;
76;KM;KACANG MIX;Asin;BALL 2 KG;In;2023-02;50;90000;4500000;SDP;
77;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;In;2023-02;45;10000;450000;SDP;
78;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;In;2023-02;50;80000;4000000;SDP;
79;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;In;2023-02;50;50000;2500000;SDP;
80;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;In;2023-02;65;50000;3250000;SDP;
81;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;In;2023-02;50;80000;4000000;Zidan Snack;
82;KPM;KUPING MINI;Manis;BALL 1 KG;In;2023-02;45;25000;1125000;Zidan Snack;
83;LU;LADU UNGU;Manis;BALL 1 KG;In;2023-02;45;40000;1800000;Zidan Snack;
84;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;In;2023-02;60;50000;3000000;Zidan Snack;
85;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;In;2023-02;50;50000;2500000;Zidan Snack;
86;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;In;2023-02;50;40000;2000000;Zidan Snack;
87;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;In;2023-02;110;40000;4400000;Zidan Snack;
88;MT;MAKARONI TABUR;Pedas;BALL 1 KG;In;2023-02;20;40000;800000;Zidan Snack;
89;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;In;2023-02;50;200000;10000000;Zidan Snack;
